jarak,waktu_milli,waktu_second,zona
53,3172,3,SIAGA
53,3153,3,SIAGA
53,3169,3,SIAGA
55,3238,3,SIAGA
54,3212,3,SIAGA
54,3220,3,SIAGA
54,3219,3,SIAGA
55,3247,3,SIAGA
54,3188,3,SIAGA
54,3193,3,SIAGA
55,3241,3,SIAGA
54,3198,3,SIAGA
54,3225,3,SIAGA
54,3202,3,SIAGA
55,3238,3,SIAGA
54,3203,3,SIAGA
53,3172,3,SIAGA
52,3107,3,SIAGA
51,3050,3,SIAGA
50,2958,2,SIAGA
49,2913,2,SIAGA
47,2781,2,SIAGA
46,2733,2,SIAGA
46,2741,2,SIAGA
45,2698,2,SIAGA
44,2643,2,SIAGA
43,2571,2,SIAGA
43,2538,2,SIAGA
42,2524,2,SIAGA
42,2483,2,SIAGA
41,2439,2,SIAGA
39,2339,2,SIAGA
38,2290,2,SIAGA
38,2284,2,SIAGA
38,2236,2,SIAGA
37,2208,2,SIAGA
36,2122,2,SIAGA
35,2076,2,SIAGA
34,2040,2,SIAGA
33,1973,1,SIAGA
32,1923,1,SIAGA
31,1873,1,SIAGA
31,1829,1,SIAGA
31,1833,1,SIAGA
31,1838,1,SIAGA
29,1728,1,SIAGA
28,1704,1,SIAGA
29,1737,1,SIAGA
28,1671,1,SIAGA
28,1675,1,SIAGA
28,1658,1,SIAGA
27,1642,1,SIAGA
26,1581,1,SIAGA
27,1599,1,SIAGA
27,1616,1,SIAGA
27,1598,1,SIAGA
26,1581,1,SIAGA
26,1581,1,SIAGA
26,1568,1,SIAGA
26,1548,1,SIAGA
26,1572,1,SIAGA
26,1579,1,SIAGA
26,1581,1,SIAGA
26,1581,1,SIAGA
26,1566,1,SIAGA
26,1581,1,SIAGA
27,1634,1,SIAGA
29,1723,1,SIAGA
30,1801,1,SIAGA
32,1893,1,SIAGA
33,1947,1,SIAGA
33,1995,1,SIAGA
34,2017,2,SIAGA
35,2091,2,SIAGA
36,2135,2,SIAGA
36,2162,2,SIAGA
37,2194,2,SIAGA
38,2236,2,SIAGA
39,2328,2,SIAGA
40,2389,2,SIAGA
40,2411,2,SIAGA
41,2470,2,SIAGA
42,2492,2,SIAGA
42,2524,2,SIAGA
43,2542,2,SIAGA
44,2643,2,SIAGA
44,2643,2,SIAGA
46,2715,2,SIAGA
46,2706,2,SIAGA
46,2759,2,SIAGA
47,2785,2,SIAGA
48,2837,2,SIAGA
48,2851,2,SIAGA
49,2886,2,SIAGA
49,2937,2,SIAGA
49,2936,2,SIAGA
50,2968,2,SIAGA
50,2982,2,SIAGA
52,3113,3,SIAGA
